date,entity,crimes2
2015-01-19,P-020,0.0
2015-01-19,P-050,0.0
2015-01-19,P-079,0.0
2015-01-19,P-001,0.0
2015-01-19,P-006,0.0
2015-01-19,P-014,0.0
2015-01-19,P-072,0.0
2015-01-19,P-073,0.0
2015-01-19,P-048,0.0
2015-01-19,P-114,0.0
2015-01-19,P-122,0.0
2015-01-19,P-052,0.0
2015-01-19,P-078,0.0
2015-01-19,P-077,0.0
2015-01-19,P-026,0.0
2015-01-19,P-108,0.0
2015-01-19,P-070,0.0
2015-01-19,P-069,0.0
2015-01-19,P-120,0.0
2015-01-19,P-063,0.0
2015-01-19,P-071,0.0
2015-01-19,P-084,0.0
2015-01-19,P-009,0.0
2015-01-19,P-068,0.0
2015-01-19,P-076,0.0
2015-01-19,P-066,0.0
2015-01-19,P-017,0.0
2015-01-19,P-042,0.0
2015-01-19,P-088,0.0
2015-01-19,P-032,0.0
2015-01-19,P-060,0.0
2015-01-19,P-102,0.0
2015-01-19,P-028,0.0
2015-01-19,P-090,0.0
2015-01-19,P-112,0.0
2015-01-19,P-010,0.0
2015-01-19,P-106,0.0
2015-01-19,P-024,0.0
2015-01-19,P-101,0.0
2015-01-19,P-030,0.0
2015-01-19,P-033,0.0
2015-01-19,P-034,0.0
2015-01-19,P-111,0.0
2015-01-19,P-100,0.0
2015-01-19,P-123,0.0
2015-01-19,P-022,0.0
2015-01-20,P-018,1.0
2015-01-20,P-044,0.0
2015-01-20,P-075,0.0
2015-01-20,P-043,0.0
2015-01-20,P-040,0.0
2015-01-20,P-109,0.0
2015-01-20,P-007,0.0
2015-01-20,P-023,0.0
2015-01-20,P-103,0.0
2015-01-20,P-019,0.0
2015-01-20,P-041,0.0
2015-01-20,P-113,0.0
2015-01-20,P-047,0.0
2015-01-20,P-049,0.0
2015-01-20,P-062,0.0
2015-01-20,P-045,0.0
2015-01-20,P-067,0.0
2015-01-20,P-104,0.0
2015-01-20,P-083,0.0
2015-01-20,P-094,0.0
2015-01-20,P-121,0.0
2015-01-20,P-005,0.0
2015-01-20,P-025,0.0
2015-01-20,P-046,0.0
2015-01-20,P-110,0.0
2015-01-20,P-061,0.0
2015-01-20,P-081,0.0
2015-01-20,P-105,0.0
2015-01-20,P-115,0.0
2015-01-20,P-107,0.0
2015-01-20,P-013,0.0
2015-01-20,P-020,0.0
2015-01-20,P-050,0.0
2015-01-20,P-079,0.0
2015-01-20,P-001,0.0
2015-01-20,P-006,0.0
2015-01-20,P-014,0.0
2015-01-20,P-072,0.0
2015-01-20,P-073,0.0
2015-01-20,P-048,0.0
2015-01-20,P-114,0.0
2015-01-20,P-122,0.0
2015-01-20,P-052,0.0
2015-01-20,P-078,0.0
2015-01-20,P-077,0.0
2015-01-20,P-026,0.0
2015-01-20,P-108,0.0
2015-01-20,P-070,0.0
2015-01-20,P-069,0.0
2015-01-20,P-120,0.0
2015-01-20,P-063,0.0
2015-01-20,P-071,0.0
2015-01-20,P-084,0.0
2015-01-20,P-009,0.0
2015-01-20,P-068,0.0
2015-01-20,P-076,0.0
2015-01-20,P-066,0.0
2015-01-20,P-017,0.0
2015-01-20,P-042,0.0
2015-01-20,P-088,0.0
2015-01-20,P-032,0.0
2015-01-20,P-060,0.0
2015-01-20,P-102,0.0
2015-01-20,P-028,0.0
2015-01-20,P-090,0.0
2015-01-20,P-112,0.0
2015-01-20,P-010,0.0
2015-01-20,P-106,0.0
2015-01-20,P-024,0.0
2015-01-20,P-101,0.0
2015-01-20,P-030,0.0
2015-01-20,P-033,0.0
2015-01-20,P-034,0.0
2015-01-20,P-111,0.0
2015-01-20,P-100,0.0
2015-01-20,P-123,0.0
2015-01-20,P-022,0.0
2015-01-21,P-018,1.0
2015-01-21,P-044,0.0
2015-01-21,P-075,0.0
2015-01-21,P-043,0.0
2015-01-21,P-040,0.0
2015-01-21,P-109,0.0
2015-01-21,P-007,0.0
2015-01-21,P-023,0.0
2015-01-21,P-103,0.0
2015-01-21,P-019,0.0
2015-01-21,P-041,0.0
2015-01-21,P-113,0.0
2015-01-21,P-047,0.0
2015-01-21,P-049,0.0
2015-01-21,P-062,0.0
2015-01-21,P-045,0.0
2015-01-21,P-067,0.0
2015-01-21,P-104,0.0
2015-01-21,P-083,0.0
2015-01-21,P-094,0.0
2015-01-21,P-121,0.0
2015-01-21,P-005,0.0
2015-01-21,P-025,0.0
2015-01-21,P-046,0.0
2015-01-21,P-110,0.0
2015-01-21,P-061,0.0
2015-01-21,P-081,0.0
2015-01-21,P-105,0.0
2015-01-21,P-115,0.0
2015-01-21,P-107,0.0
2015-01-21,P-013,0.0
2015-01-21,P-020,0.0
2015-01-21,P-050,0.0
2015-01-21,P-079,0.0
2015-01-21,P-001,0.0
2015-01-21,P-006,0.0
2015-01-21,P-014,0.0
2015-01-21,P-072,0.0
2015-01-21,P-073,0.0
2015-01-21,P-048,0.0
2015-01-21,P-114,0.0
2015-01-21,P-122,0.0
2015-01-21,P-052,0.0
2015-01-21,P-078,0.0
2015-01-21,P-077,0.0
2015-01-21,P-026,0.0
2015-01-21,P-108,0.0
2015-01-21,P-070,0.0
2015-01-21,P-069,0.0
2015-01-21,P-120,0.0
2015-01-21,P-063,0.0
2015-01-21,P-071,0.0
2015-01-21,P-084,0.0
2015-01-21,P-009,0.0
2015-01-21,P-068,0.0
2015-01-21,P-076,0.0
2015-01-21,P-066,0.0
2015-01-21,P-017,0.0
2015-01-21,P-042,0.0
2015-01-21,P-088,0.0
2015-01-21,P-032,0.0
2015-01-21,P-060,0.0
2015-01-21,P-102,0.0
2015-01-21,P-028,0.0
2015-01-21,P-090,0.0
2015-01-21,P-112,0.0
2015-01-21,P-010,0.0
2015-01-21,P-106,0.0
2015-01-21,P-024,0.0
2015-01-21,P-101,0.0
2015-01-21,P-030,0.0
2015-01-21,P-033,0.0
2015-01-21,P-034,0.0
2015-01-21,P-111,0.0
2015-01-21,P-100,0.0
2015-01-21,P-123,0.0
2015-01-21,P-022,0.0
2015-01-24,P-018,1.0
2015-01-24,P-044,0.0
2015-01-24,P-075,0.0
2015-01-24,P-043,0.0
2015-01-24,P-040,0.0
2015-01-24,P-109,0.0
2015-01-24,P-007,0.0
2015-01-24,P-023,0.0
2015-01-24,P-103,0.0
2015-01-24,P-019,0.0
2015-01-24,P-041,0.0
2015-01-24,P-113,0.0
2015-01-24,P-047,0.0
2015-01-24,P-049,0.0
2015-01-24,P-062,0.0
2015-01-24,P-045,0.0
2015-01-24,P-067,0.0
2015-01-24,P-104,0.0
2015-01-24,P-083,0.0
2015-01-24,P-094,0.0
2015-01-24,P-121,0.0
2015-01-24,P-005,0.0
2015-01-24,P-025,0.0
2015-01-24,P-046,0.0
2015-01-24,P-110,0.0
2015-01-24,P-061,0.0
2015-01-24,P-081,0.0
2015-01-24,P-105,0.0
2015-01-24,P-115,0.0
2015-01-24,P-107,0.0
2015-01-24,P-013,0.0
2015-01-24,P-020,0.0
2015-01-24,P-050,0.0
2015-01-24,P-079,0.0
2015-01-24,P-001,0.0
2015-01-24,P-006,0.0
2015-01-24,P-014,0.0
2015-01-24,P-072,0.0
2015-01-24,P-073,0.0
2015-01-24,P-048,0.0
2015-01-24,P-114,0.0
2015-01-24,P-122,0.0
2015-01-24,P-052,0.0
2015-01-24,P-078,0.0
2015-01-24,P-077,0.0
2015-01-24,P-026,0.0
2015-01-24,P-108,0.0
2015-01-24,P-070,0.0
2015-01-24,P-069,0.0
2015-01-24,P-120,0.0
2015-01-24,P-063,0.0
2015-01-24,P-071,0.0
2015-01-24,P-084,0.0
2015-01-24,P-009,0.0
2015-01-24,P-068,0.0
2015-01-24,P-076,0.0
2015-01-24,P-066,0.0
2015-01-24,P-017,0.0
2015-01-24,P-042,0.0
2015-01-24,P-088,0.0
2015-01-24,P-032,0.0
2015-01-24,P-060,0.0
2015-01-24,P-102,0.0
2015-01-24,P-028,0.0
2015-01-24,P-090,0.0
2015-01-24,P-112,0.0
2015-01-24,P-010,0.0
2015-01-24,P-106,0.0
2015-01-24,P-024,0.0
2015-01-24,P-101,0.0
2015-01-24,P-030,0.0
2015-01-24,P-033,0.0
2015-01-24,P-034,0.0
2015-01-24,P-111,0.0
2015-01-24,P-100,0.0
2015-01-24,P-123,0.0
2015-01-24,P-022,0.0
2015-01-25,P-018,0.0
2015-01-25,P-044,0.0
2015-01-25,P-075,0.0
2015-01-25,P-043,1.7142857142857142
2015-01-25,P-040,0.0
2015-01-25,P-109,0.0
2015-01-25,P-007,0.0
2015-01-25,P-023,0.0
2015-01-25,P-103,0.0
2015-01-25,P-019,0.0
